step,loss,perplexity,learning_rate,tokens_per_sec,grad_norm,vram_mb
1,8.219173431396484,3711.433360017781,0.001,4755.573082476327,0.05168635906131876,1.9103965759277344
2,8.218944549560547,3710.583977544198,0.002,3456.6362255015583,0.031821419232311465,1.9103965759277344
3,8.217771530151367,3706.233942355796,0.003,4368.853343749492,0.10970853698371817,1.9103965759277344
4,8.21657943725586,3701.818399595506,0.004,4475.266846720683,0.06633957562939996,1.9103965759277344
5,8.212621688842773,3687.1964877094433,0.005,5758.687432960055,0.13142399930600498,1.9103965759277344
6,8.211557388305664,3683.2742900759044,0.006,5287.545299650367,0.11134969945137671,1.9103965759277344
7,8.201505661010742,3646.4364733688694,0.006999999999999999,3940.3658889239555,0.18840867133218592,1.9103965759277344
8,8.186281204223633,3591.341915377825,0.008,3693.3119982388916,0.284414994133338,1.9103965759277344
9,8.168335914611816,3527.4690670819264,0.009000000000000001,5217.860765275875,0.3370907359826127,1.9103965759277344
10,8.134719848632812,3410.8603777141766,0.01,3877.696166874923,0.44836153037697896,1.9103965759277344
11,8.105305671691895,3311.9938932961268,0.009997258721585932,3991.100842272724,0.48115686751207787,1.9103965759277344
12,8.054572105407715,3148.1558168561987,0.00998903822616921,5170.124632852149,0.5737096654246495,1.9103965759277344
13,7.997925281524658,2974.779749699537,0.00997534852915723,5476.653969743647,0.6573916616976132,1.9103965759277344
14,7.9099225997924805,2724.17960611374,0.009956206309337069,4033.7724615685156,0.8245224830804186,1.9103965759277344
15,7.810360908508301,2466.0202824007806,0.009931634888554936,3815.3611393403594,0.9756436446732105,1.9103965759277344
16,7.738801956176758,2295.72036133136,0.009901664203302126,4663.171302006427,1.0073751063104017,1.9103965759277344
17,7.625007629394531,2048.7960960342007,0.009866330768241983,5532.641281160794,1.1292227347712933,1.9103965759277344
18,7.4636149406433105,1743.439108502217,0.009825677631722436,3663.697552853185,1.3357139843338994,1.9103965759277344
19,7.359182834625244,1570.5526372049758,0.009779754323328192,4122.704222756349,1.3521345012115944,1.9103965759277344
20,7.1245646476745605,1242.107295029255,0.00972861679353659,4608.294452408134,1.6700068311818028,1.9103965759277344
21,7.209599494934082,1352.3505356579217,0.009672327345550544,4047.1520798468196,1.2839212102015833,1.9103965759277344
22,7.16255521774292,1290.203475345174,0.009610954559391705,5644.736746924614,1.3032897445517095,1.9103965759277344
23,6.647624969482422,770.9511170033273,0.009544573208346254,3953.9472532975897,1.8365950712840409,1.9103965759277344
24,6.467245101928711,643.7079322803837,0.009473264167865172,3803.1715734889917,1.9118390215300622,1.9103965759277344
25,6.529339790344238,684.9458543162589,0.009397114317029977,3938.833707502458,1.630427332944255,1.9103965759277344
26,6.298140525817871,543.5602336034258,0.009316216432703917,3674.4044733113865,1.7533780374157681,1.9103965759277344
27,6.391493797302246,596.7473337766695,0.009230669076497687,3882.631798951365,1.5671901474917052,1.9103965759277344
28,6.169300079345703,477.851530858727,0.009140576474687266,3655.0922298700325,1.6252193453606971,1.9103965759277344
29,5.590077877044678,267.7564709843726,0.00904604839123025,4846.192630571753,1.9600475036162506,1.9103965759277344
30,5.362982749938965,213.36039899748542,0.008947199994035402,3843.880259756997,2.0333762191941944,1.9103965759277344
31,5.415371894836426,224.83614553404092,0.008844151714648276,4460.542638750416,1.8106963871007689,1.9103965759277344
32,5.125076770782471,168.1870530078925,0.008737029101523932,4309.377855548955,1.8396296838427109,1.9103965759277344
33,4.4477386474609375,85.43353006593894,0.008625962667065489,5886.6133637420235,2.264245063521499,1.9103965759277344
34,4.40526008605957,81.8804360339805,0.008511087728614863,3685.806658016326,2.0399617580980487,1.9103965759277344
35,4.093916893005371,59.974345333242866,0.008392544243589428,4050.235845284528,2.1095130439653293,1.9103965759277344
36,3.986412525177002,53.861316235643436,0.008270476638965463,3881.8176770013883,1.9406181111157876,1.9103965759277344
